"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","VSS","Power","","","","","","","","","","","","","","","","","",""
"A2","PB8","I/O","FDCAN1_RX","","","TIM16_CH1","TIM4_CH3","DFSDM1_CKIN7","I2C1_SCL","","I2C4_SCL","SDMMC1_CKIN","UART4_RX","FDCAN1_RX","SDMMC2_D4","ETH_TXD3","SDMMC1_D4","DCMI_D6/PSSI_D6","LTDC_B6","EVENTOUT"
"A3","VDDLDO","Power","","","","","","","","","","","","","","","","","",""
"A4","VCAP","Power","","","","","","","","","","","","","","","","","",""
"A5","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","","I2C1_SCL","CEC","I2C4_SCL","USART1_TX","LPUART1_TX","FDCAN2_TX","OCTOSPIM_P1_NCS","DFSDM1_DATIN5","FMC_SDNE1","DCMI_D5/PSSI_D5","UART5_TX","EVENTOUT"
"A6","PB3(JTDO/TRACESWO)","I/O","SPI1_SCK","","DEBUG_JTDO-SWO","TIM2_CH2","","","","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","I2S6_CK/SPI6_SCK","SDMMC2_D2","CRS_SYNC","UART7_RX","","","TIM24_ETR","EVENTOUT"
"A7","PG11","I/O","ETH_TX_EN","","","LPTIM1_IN2","","","USART10_RX","I2S1_CK/SPI1_SCK","","","SPDIFRX1_IN0","OCTOSPIM_P2_IO7","SDMMC2_D2","ETH_TX_EN","","DCMI_D3/PSSI_D3","LTDC_B3","EVENTOUT"
"A8","PG9","I/O","FDCAN3_TX","","","","FDCAN3_TX","","","I2S1_SDI/SPI1_MISO","","USART6_RX","SPDIFRX1_IN3","OCTOSPIM_P1_IO6","SAI4_FS_B","SDMMC2_D0","FMC_NCE/FMC_NE2","DCMI_VSYNC/PSSI_RDY","","EVENTOUT"
"A9","PD3","I/O","SPI2_SCK","","","","","DFSDM1_CKOUT","","I2S2_CK/SPI2_SCK","","USART2_CTS/USART2_NSS","","","","","FMC_CLK","DCMI_D5/PSSI_D5","LTDC_G7","EVENTOUT"
"A10","PD1","I/O","FDCAN1_TX","","","","","DFSDM1_DATIN6","","","","","UART4_TX","FDCAN1_TX","","","FMC_D3/FMC_DA3","","","EVENTOUT"
"A11","PA15(JTDI)","I/O","","","DEBUG_JTDI","TIM2_CH1/TIM2_ETR","","","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","I2S6_WS/SPI6_NSS","UART4_DE/UART4_RTS","LTDC_R3","","UART7_TX","","","LTDC_B6","EVENTOUT"
"A12","PA14(JTCK/SWCLK)","I/O","DEBUG_JTCK-SWCLK","","DEBUG_JTCK-SWCLK","","","","","","","","","","","","","","","EVENTOUT"
"A13","VDDLDO","Power","","","","","","","","","","","","","","","","","",""
"A14","VCAP","Power","","","","","","","","","","","","","","","","","",""
"A15","VSS","Power","","","","","","","","","","","","","","","","","",""
"B1","PE4","I/O","","","DEBUG_TRACED1","","SAI1_D2","DFSDM1_DATIN3","TIM15_CH1N","SPI4_NSS","SAI1_FS_A","","SAI4_FS_A","","SAI4_D2","","FMC_A20","DCMI_D4/PSSI_D4","LTDC_B0","EVENTOUT"
"B2","PE3","I/O","","","DEBUG_TRACED0","","","","TIM15_BKIN","","SAI1_SD_B","","SAI4_SD_B","","","USART10_TX","FMC_A19","","","EVENTOUT"
"B3","PB9","I/O","","","","TIM17_CH1","TIM4_CH4","DFSDM1_DATIN7","I2C1_SDA","I2S2_WS/SPI2_NSS","I2C4_SDA","SDMMC1_CDIR","UART4_TX","FDCAN1_TX","SDMMC2_D5","I2C4_SMBA","SDMMC1_D5","DCMI_D7/PSSI_D7","LTDC_B7","EVENTOUT"
